lat,lon
63.3,20
63.3,20
63.3,20
63.22,20
63.22,20
63.22,20
63.12,20
63.12,20
63.11,20.01
62.75,20
62.75,20
62.75,20
62.33,20
62.33,20
62.33,20
61.83,20
61.83,20
61.83,20
61.61,20
61.61,20
61.61,20
61.33,20
61.33,19.99
61.33,20
61,20
61,20
61,20.01
60.5,20
60.5,20
60.5,20
60,20
60,20
60,20
59.5,20
59.5,20
59.5,20
59,20
59,20
59,20
58.5,20
58.5,20
58.5,20
58,20
58,20
58,20
57.5,20
57.5,20
57.5,20
57,20
57,20
57,20
56.5,20
56.5,20
56.5,20
56,20
56,20
56,20
55.5,20
55.5,20
55.5,19.99
55,20
55,19.99
55,19.99
54.5,20
54.5,20
54.5,20
54,20
54,20
54,20
53.5,20
53.5,20
53.5,20
53,20
53,20
53,20
52.5,20
52.5,20
52.5,20
52,20
52,20
52,20
51.5,20
51.5,20
51.5,20
51,20
51,20
51,20
50.5,20
50.5,19.99
50.5,19.99
50,20
50,20
50,20
49.51,20
49.51,20
49.51,20
49,19.99
49,19.99
49,19.99
48.5,20
48.5,20
48.5,20
48,20
48,20
48,20
47.48,20
47.48,20
47.48,19.99
47.01,20
47,19.99
46.99,19.99
46.5,20
46.5,20
46.5,20
46,20
46,20
46,20
45.5,20
45.5,20
45.5,19.99
45,20
45,20
45,20
44.5,20
44.5,20
44.5,20
44,20
44,20
44,20
43.5,20
43.5,20
43.5,20
43,20
43,20
43,20
42.5,20
42.5,20
42.5,20
42,20
42,20
42,20
41.5,20
41.5,19.99
41.5,19.99
41,20
41,20
41,20
40.5,20
40.5,20
40.5,20
40,20
40,20
40,20
39.5,20
39.5,20
39.5,20
39,20
39,20
39,20
38.5,20
38.5,20
38.5,20
38,20
38,20.01
38,20.01
37.5,20
37.5,20
37.5,20
37,20
37,20
37,20
36.5,20
36.5,20
36.5,20
36,20
36,20
36,20
35.5,20.28
35.5,20.28
35.5,20.28
35,20.57
35,20.57
35,20.57
34.5,20.85
34.5,20.85
34.5,20.85
34,21.13
34,21.13
34,21.13
33.5,21.4
33.5,21.4
33.5,21.4
33,21.68
33,21.68
33,21.68
32.5,21.97
32.5,21.97
32.5,21.97
32,22.25
32,22.25
32,22.25
31.5,22.53
31.5,22.53
31.5,22.53
31,22.82
31,22.82
31,22.82
30.5,23.1
30.5,23.1
30.5,23.1
30.5,23.1
30.5,23.1
30.5,23.1
30,23.37
30,23.37
30,23.37
29.5,23.65
29.5,23.65
29.5,23.65
29,23.94
29,23.94
29,23.94
28.5,24.22
28.5,24.22
28.5,24.22
28,24.5
28,24.5
28,24.5
27.5,24.78
27.5,24.78
27.5,24.78
27,25.07
27,25.07
27,25.07
26.5,25.35
26.5,25.35
26.5,25.35
26,25.63
26,25.63
26,25.63
25.5,25.9
25.5,25.9
25.5,25.9
25,26.18
25,26.18
25,26.19
24.57,26.43
24.57,26.43
24.57,26.43
24,26.75
24,26.75
24,26.75
23.5,27.03
23.5,27.03
23.51,27.04
23,27.32
23,27.32
